OG,Cnat_Orthofinder_input,Mcav_coral_only_denovo,Ofav_coral_only_denovo,Past_longest_proteome,Ssid_longest_proteome,Total
OG0009936,1,1,1,1,1,5
OG0009938,1,1,1,1,1,5
OG0009939,1,1,1,1,1,5
OG0009940,1,1,1,1,1,5
OG0009941,1,1,1,1,1,5
OG0009942,1,1,1,1,1,5
OG0009943,1,1,1,1,1,5
OG0009944,1,1,1,1,1,5
OG0009946,1,1,1,1,1,5
OG0009947,1,1,1,1,1,5
OG0009949,1,1,1,1,1,5
OG0009952,1,1,1,1,1,5
OG0009953,1,1,1,1,1,5
OG0009962,1,1,1,1,1,5
OG0009963,1,1,1,1,1,5
OG0009964,1,1,1,1,1,5
OG0009965,1,1,1,1,1,5
OG0009966,1,1,1,1,1,5
OG0009972,1,1,1,1,1,5
OG0009975,1,1,1,1,1,5
OG0009976,1,1,1,1,1,5
OG0009977,1,1,1,1,1,5
OG0009978,1,1,1,1,1,5
OG0009981,1,1,1,1,1,5
OG0009982,1,1,1,1,1,5
OG0009983,1,1,1,1,1,5
OG0009984,1,1,1,1,1,5
OG0009985,1,1,1,1,1,5
OG0009986,1,1,1,1,1,5
OG0009987,1,1,1,1,1,5
OG0009988,1,1,1,1,1,5
OG0009990,1,1,1,1,1,5
OG0009993,1,1,1,1,1,5
OG0009994,1,1,1,1,1,5
OG0009995,1,1,1,1,1,5
OG0009996,1,1,1,1,1,5
OG0009997,1,1,1,1,1,5
OG0009998,1,1,1,1,1,5
OG0010000,1,1,1,1,1,5
OG0010003,1,1,1,1,1,5
OG0010004,1,1,1,1,1,5
OG0010005,1,1,1,1,1,5
OG0010006,1,1,1,1,1,5
OG0010008,1,1,1,1,1,5
OG0010010,1,1,1,1,1,5
OG0010011,1,1,1,1,1,5
OG0010012,1,1,1,1,1,5
OG0010013,1,1,1,1,1,5
OG0010016,1,1,1,1,1,5
OG0010017,1,1,1,1,1,5
OG0010018,1,1,1,1,1,5
OG0010019,1,1,1,1,1,5
OG0010020,1,1,1,1,1,5
OG0010021,1,1,1,1,1,5
OG0010022,1,1,1,1,1,5
OG0010024,1,1,1,1,1,5
OG0010025,1,1,1,1,1,5
OG0010026,1,1,1,1,1,5
OG0010027,1,1,1,1,1,5
OG0010029,1,1,1,1,1,5
OG0010031,1,1,1,1,1,5
OG0010032,1,1,1,1,1,5
OG0010033,1,1,1,1,1,5
OG0010034,1,1,1,1,1,5
OG0010035,1,1,1,1,1,5
OG0010036,1,1,1,1,1,5
OG0010038,1,1,1,1,1,5
OG0010039,1,1,1,1,1,5
